,satz,id,party,period,date,name,redner_id,discussion_title,Sentiment_Label,Sentiment_Score,topic
9971,Sehr geehrte Frau Präsidentin!,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,negative,0.979025423526764,103_hanau_opfer_unvar_rassismus
9972,Werte Kolleginnen und Kollegen!,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,negative,0.7646251916885376,103_hanau_opfer_unvar_rassismus
9973,Dieser Appell der einzigen jesidischen Abgeordneten im irakischen Parlament ging am 5.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9997207522392272,103_hanau_opfer_unvar_rassismus
9974,August 2014 um die Welt.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,negative,0.648653507232666,103_hanau_opfer_unvar_rassismus
9975,Vian Dakhil spricht nur zwei Tage nach dem Beginn des Genozids von einem Völkermord.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999898672103882,103_hanau_opfer_unvar_rassismus
9976,"Sie beschreibt das Leid der Geflüchteten, der Gehetzten und Gejagten, der Ermordeten und der Vergewaltigten.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999912977218628,103_hanau_opfer_unvar_rassismus
9977,Am Ende bricht sie unter Tränen im irakischen Parlament zusammen.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999912977218628,103_hanau_opfer_unvar_rassismus
9978,"Liebe Kolleginnen und Kollegen, ich bin Christ.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9769155979156494,103_hanau_opfer_unvar_rassismus
9979,"Als ich in jenen Tagen die Bilder der Geflüchteten im Sindschar-Gebirge gesehen habe, habe ich zu meinem Gott nicht nur gebetet, ich habe geschrien.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9626531600952148,103_hanau_opfer_unvar_rassismus
9980,"Ich habe geschrien, dass er den Mörderbanden des IS endlich Einhalt gebieten soll.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.999985694885254,103_hanau_opfer_unvar_rassismus
9981,"Keiner von uns kann das Leid, das Ihr Volk erfahren hat, in Gänze nachempfinden.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.999178946018219,103_hanau_opfer_unvar_rassismus
9982,Wir können aber dieses Leid anerkennen.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999865293502808,103_hanau_opfer_unvar_rassismus
9983,"Als wir im vergangenen Jahr im Ausschuss für Menschenrechte die Anhörung zum Völkermord durchgeführt haben, hat der Verfasser der Petition, Gohdar Alkaidy – ich freue mich sehr, dass Sie heute da sind –, genau diese Hoffnung formuliert: die Hoffnung, das Leid anzuerkennen.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9956125020980836,103_hanau_opfer_unvar_rassismus
9984,"Herr Alkaidy, Sie haben damals gesagt: Das ist die Hoffnung der Menschen, die selbst Opfer von Gewalt wurden, die bis heute physisch und psychisch verwundet sind.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999858140945436,103_hanau_opfer_unvar_rassismus
9985,"Es ist die Hoffnung von Jesiden, die seit 2014 verzweifelt nach ihren verschleppten und in die Sklaverei verkauften Müttern, Schwestern und Töchtern suchen.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999912977218628,103_hanau_opfer_unvar_rassismus
9986,"Es ist die Hoffnung von Menschen, deren Angehörige ermordet und in Massengräbern verscharrt wurden.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999908208847046,103_hanau_opfer_unvar_rassismus
9987,"Am Ende ist es auch die Hoffnung derer, die nicht wissen, ob ihre Kinder einmal Jesiden sein können, die in den Flüchtlingscamps ausharren, fern der Heimat, oder die hier eine zweite Heimat gefunden haben.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.999967098236084,103_hanau_opfer_unvar_rassismus
9988,Als Deutscher Bundestag geben wir heute genau dieser Hoffnung ein Gesicht.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9949386119842528,103_hanau_opfer_unvar_rassismus
9989,Durch die Anerkennung des Völkermords an den Jesiden geben wir den Opfern ihre Würde wieder.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999854564666748,103_hanau_opfer_unvar_rassismus
9990,"Wir setzen damit ein Zeichen der Menschlichkeit an diejenigen, die vom „Islamischen Staat“ entmenschlicht wurden.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999902248382568,103_hanau_opfer_unvar_rassismus
9991,"Und wir senden damit eine Botschaft an die Täter, eine Botschaft, die da lautet: Die Welt vergisst nicht.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9978518486022948,103_hanau_opfer_unvar_rassismus
9992,Die Welt wird euch verfolgen.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.6883963346481323,103_hanau_opfer_unvar_rassismus
9993,Ihr werdet und eure menschenverachtende Ideologie wird zur Verantwortung gezogen werden.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9996827840805054,103_hanau_opfer_unvar_rassismus
9994,"Wir senden die Botschaft, dass wir an der Seite jener stehen, die ihr vernichten wolltet, dass wir jene unterstützen, die ihr versklavt und ermordet habt.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,neutral,0.9999439716339112,103_hanau_opfer_unvar_rassismus
9995,"Und wenn ihr ihnen eure Welt nehmen wolltet, dann geben wir ihnen die unsrige.",ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,negative,0.4876971840858459,103_hanau_opfer_unvar_rassismus
9996,Vielen Dank.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,positive,0.7992586493492126,103_hanau_opfer_unvar_rassismus
9997,Der Kollege Dr. Christoph Hoffmann hat das Wort für die FDP-Fraktion.,ID207904400,CDU/CSU,18,2023-01-19,Jonas Geissler,11005063,Tagesordnungspunkt 9 2023-01-19,negative,0.5579097270965576,103_hanau_opfer_unvar_rassismus
69641,Frau Präsidentin!,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,positive,0.9262361526489258,103_hanau_opfer_unvar_rassismus
69642,Meine Damen und Herren!,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,positive,0.9714415073394777,103_hanau_opfer_unvar_rassismus
69643,"Etwa einen Monat ist es her, dass die 15‑jährige Zainab Essam Majed al-Khazali von einer US-amerikanischen
                    Kugel in den Kopf getroffen und getötet wurde.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999892711639404,103_hanau_opfer_unvar_rassismus
69644,"Das passierte, während US-Soldaten in der Nähe eines Wohngebiets trainierten.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999911785125732,103_hanau_opfer_unvar_rassismus
69645,Unser tiefes Mitgefühl gilt den Hinterbliebenen.,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999817609786988,103_hanau_opfer_unvar_rassismus
69646,"Die dafür
                    Verantwortlichen gehören aber zur Rechenschaft gezogen.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999881982803344,103_hanau_opfer_unvar_rassismus
69647,Es darf im Irak keine Verschleierungen mehr geben!,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,negative,0.8828760385513306,103_hanau_opfer_unvar_rassismus
69648,"Auf meine Nachfrage diesbezüglich ans Auswärtige Amt sagte man, es gebe keine eigenen Erkenntnisse dazu.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9976884126663208,103_hanau_opfer_unvar_rassismus
69649,"Wir erwarten von einer Ampelregierung, die nicht nur gendert, sondern sich auch wertebasiert und feministisch nennt, dass sie alles dafür tut, dass
                    der Tod der jungen Zainab aufgeklärt wird und die Verantwortlichen zur Rechenschaft gezogen werden, aber auch der Tod der 500 000 unschuldigen irakischen Kinder, die Opfer von westlichen Sanktionen wurden, über die die Chefzynikerin der US-Außenpolitik Albright einst sagte, sie seien den Preis wert – die Madeleine Albright, die Sie von den wertebasierten
                    Grünen vor zwei Jahren noch auf Ihrer Fraktionsklausur als Stargast gefeiert haben.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9998774528503418,103_hanau_opfer_unvar_rassismus
69650,Schämen Sie sich eigentlich für nichts?,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,negative,0.959046483039856,103_hanau_opfer_unvar_rassismus
69651,"Auch dieser Krieg der USA begann mit einer gigantischen Lüge; denn wir wissen alle, dass Massenvernichtungswaffen niemals von George Bushs siegreichen
                    Truppen im Irak gefunden wurden, dafür aber das gesamte gesellschaftliche System zerschlagen wurde und ein nach dem Prinzip „Teile und herrsche!“ funktionierendes, auf konfessionellen Kriterien fußendes Korruptionssystem geschaffen wurde.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9997166991233826,103_hanau_opfer_unvar_rassismus
69652,"Deswegen
                    dauert seit etwa einem Jahr auch die Regierungskrise an.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.999964475631714,103_hanau_opfer_unvar_rassismus
69653,Aus diesen US-Verbrechen speiste und speist sich der fürchterliche IS‑Terror.,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999825954437256,103_hanau_opfer_unvar_rassismus
69654,"Ihr zuständiger Staatssekretär antwortet auf Nachfrage dazu, die NATO-Truppen würden – Zitat – die seit 2014 im Kampf gegen den IS erreichten Erfolge und Fortschritte konsolidieren und absichern.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999886751174928,103_hanau_opfer_unvar_rassismus
69655,"Wir alle wissen, dass der IS immer noch da ist, dass er mittlerweile wieder stärker ist und dass sich mindestens 10 000 IS‑Kämpfer derzeit in Irak und
                    Syrien aufhalten.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.999990940093994,103_hanau_opfer_unvar_rassismus
69656,In Syrien wächst eine neue Generation von Terroristen heran.,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999903440475464,103_hanau_opfer_unvar_rassismus
69657,"Allein im Lager al‑Hol, aus dem Sie sich übrigens seit Jahren weigern radikalisierte
                    deutsche Staatsbürger zurückzunehmen, wachsen täglich neue Terroristen heran.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.999981164932251,103_hanau_opfer_unvar_rassismus
69658,"Meine Damen und Herren, hören Sie endlich auf, sich als Lakai von gescheiterten US-Abenteurern aufzuspielen!",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,negative,0.9460448622703552,103_hanau_opfer_unvar_rassismus
69659,"Hören Sie auf, dafür Steuergelder und vor allen Dingen das Leben von deutschen Soldaten zu riskieren!",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,negative,0.9280941486358644,103_hanau_opfer_unvar_rassismus
69660,"Das Mandat widerspricht übrigens ausdrücklich dem Willen des irakischen Parlaments, das 2020 alle ausländischen Truppen aufgefordert hat, das Land zu
                    verlassen.",ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.999988317489624,103_hanau_opfer_unvar_rassismus
69661,Die Linke lehnt das Mandat ab.,ID206403600,DIE LINKE,18,2022-10-21,Zaklin Nastic,11004837,Tagesordnungspunkt 28 2022-10-21,neutral,0.9999598264694214,103_hanau_opfer_unvar_rassismus
168772,Sehr geehrte Frau Präsidentin!,ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,negative,0.979025423526764,103_hanau_opfer_unvar_rassismus
168773,Sehr geehrte Damen und Herren!,ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,negative,0.9633674621582032,103_hanau_opfer_unvar_rassismus
168774,"Das Verbrechen im baden-württembergischen Illerkirchberg, bei dem die 14‑jährige Ece Sarigül getötet wurde, hat uns alle tief erschüttert.",ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,neutral,0.9882735013961792,103_hanau_opfer_unvar_rassismus
168775,Mein Beileid gilt der Familie und der alevitischen Gemeinde.,ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,neutral,0.9999890327453612,103_hanau_opfer_unvar_rassismus
168776,"Ich hoffe, dass die Hintergründe dieser furchtbaren Tat schnellstmöglich aufgeklärt werden.",ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,neutral,0.9987227320671082,103_hanau_opfer_unvar_rassismus
168777,"Ich habe aber überhaupt kein Verständnis dafür, dass dieser schreckliche Fall von der AfD heute hier und in den sozialen Medien für ihre rassistische Agenda instrumentalisiert wird.",ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,neutral,0.9999901056289672,103_hanau_opfer_unvar_rassismus
168778,Ich finde das hochgradig zynisch.,ID207517000,DIE LINKE,18,2022-12-14,Gökay Akbulut,11004653,Zusatzpunkt 2 2022-12-14,positive,0.8754668831825256,103_hanau_opfer_unvar_rassismus
